hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
50,ch,50,1.0,1.0
50,ch,50,0.017857142857142856,0.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,1.0,1.0
50,ch,50,0.017857142857142856,0.0
50,ch,50,0.0,0.017857142857142856
50,ch,50,1.0,1.0
50,ch,50,0.017857142857142856,0.0
50,ch,50,0.017857142857142856,0.017857142857142856
50,ch,50,0.03571428571428571,0.017857142857142856
50,ch,50,1.0,1.0
50,cau,40,0.0,0.017857142857142856
50,cau,40,1.0,1.0
50,cau,40,0.02702702702702703,0.0
50,cau,40,1.0,1.0
50,cau,40,1.0,1.0
50,cau,40,1.0,1.0
50,cau,40,1.0,1.0
50,cau,40,1.0,1.0
50,cau,40,0.02702702702702703,0.0
50,cau,40,0.0,0.017857142857142856
50,cau,40,0.0,0.017857142857142856
50,cau,40,0.02702702702702703,0.0
50,cau,40,1.0,1.0
50,cau,40,0.0,0.017857142857142856
50,cau,40,0.0,0.017857142857142856
50,cau,40,0.05405405405405406,0.017857142857142856
50,cau,40,0.08108108108108109,0.03571428571428571
50,cau,40,0.0,0.017857142857142856
50,cau,40,1.0,1.0
50,cau,40,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,0.0,0.017857142857142856
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,0.0,0.03571428571428571
50,cau,30,0.08333333333333333,0.05357142857142857
50,cau,30,1.0,1.0
50,cau,30,1.0,1.0
50,cau,30,0.0,0.03571428571428571
50,cau,30,0.0,0.017857142857142856
50,cau,30,0.041666666666666664,0.03571428571428571
50,cau,30,0.0,0.017857142857142856
50,cau,30,0.0,0.017857142857142856
50,cau,30,1.0,1.0
50,cau,30,0.041666666666666664,0.0
50,cau,20,1.0,1.0
50,cau,20,0.0,0.017857142857142856
50,cau,20,0.07142857142857142,0.03571428571428571
50,cau,20,0.0,0.03571428571428571
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,0.0,0.03571428571428571
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,0.07142857142857142,0.0
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,1.0,1.0
50,cau,20,0.0,0.017857142857142856
50,cau,20,0.0,0.017857142857142856
50,cau,20,0.0,0.017857142857142856
50,cau,20,0.07142857142857142,0.0
50,cau,20,0.14285714285714285,0.07142857142857142
50,cau,10,0.0,0.017857142857142856
50,cau,10,0.0,0.03571428571428571
50,cau,10,0.0,0.017857142857142856
50,cau,10,0.0,0.017857142857142856
50,cau,10,1.0,1.0
50,cau,10,1.0,1.0
50,cau,10,0.0,0.03571428571428571
50,cau,10,0.0,0.017857142857142856
50,cau,10,0.0,0.03571428571428571
50,cau,10,0.16666666666666666,0.03571428571428571
50,cau,10,1.0,1.0
50,cau,10,1.0,1.0
50,cau,10,0.0,0.07142857142857142
50,cau,10,0.0,0.017857142857142856
50,cau,10,1.0,1.0
50,cau,10,0.0,0.03571428571428571
50,cau,10,1.0,1.0
50,cau,10,0.16666666666666666,0.10714285714285714
50,cau,10,0.0,0.017857142857142856
50,cau,10,0.0,0.017857142857142856
50,cau,0,0.0,0.017857142857142856
