run;nb_cc;ethnie;proportion;proportion_correct_cau;proportion_correct_ch;
7;30;cau;20;0.857142857142857;0.785714285714285;
8;30;cau;20;0.928571428571428;0.946428571428571;
9;30;cau;20;0.785714285714285;0.857142857142857;
10;30;cau;20;0.857142857142857;0.875;
1;30;cau;10;0.333333333333333;0.375;
2;30;cau;10;0.666666666666666;0.375;
3;30;cau;10;0.333333333333333;0.303571428571428;
4;30;cau;10;0.666666666666666;0.285714285714285;
5;30;cau;10;0.333333333333333;0.25;
6;30;cau;10;0.833333333333333;0.375;
7;30;cau;10;0.5;0.517857142857142;
8;30;cau;10;0.666666666666666;0.446428571428571;
9;30;cau;10;0.5;0.392857142857142;
10;30;cau;10;0.333333333333333;0.357142857142857;
1;30;cau;0;0;0.160714285714285;
2;30;cau;0;0;0.107142857142857;
3;30;cau;0;0;0.392857142857142;
4;30;cau;0;0;0.267857142857142;
5;30;cau;0;0;0.267857142857142;
6;30;cau;0;0;0.178571428571428;
7;30;cau;0;0;0.446428571428571;
8;30;cau;0;0;0.303571428571428;
9;30;cau;0;0;0.232142857142857;
10;30;cau;0;0;0.160714285714285;
1;50;ch;0;0.660714285714285;0;
2;50;ch;0;0.732142857142857;0;
3;50;ch;0;0.714285714285714;0;
4;50;ch;0;0.767857142857142;0;
5;50;ch;0;0.642857142857142;0;
6;50;ch;0;0.553571428571428;0;
7;50;ch;0;0.535714285714285;0;
8;50;ch;0;0.553571428571428;0;
9;50;ch;0;0.732142857142857;0;
10;50;ch;0;0.535714285714285;0;
1;50;ch;10;0.642857142857142;0.5;
2;50;ch;10;0.732142857142857;0.833333333333333;
3;50;ch;10;0.678571428571428;0.666666666666666;
4;50;ch;10;0.785714285714285;0.833333333333333;
5;50;ch;10;0.553571428571428;0.5;
6;50;ch;10;0.696428571428571;0.833333333333333;
7;50;ch;10;0.607142857142857;0.5;
8;50;ch;10;0.482142857142857;0.666666666666666;
9;50;ch;10;0.660714285714285;0.333333333333333;
10;50;ch;10;0.571428571428571;0.5;
1;50;ch;20;1;1;
2;50;ch;20;0.964285714285714;1;
3;50;ch;20;1;1;
4;50;ch;20;0.982142857142857;1;
5;50;ch;20;0.982142857142857;1;
6;50;ch;20;1;0.928571428571428;
7;50;ch;20;0.982142857142857;1;
8;50;ch;20;0.946428571428571;1;
9;50;ch;20;0.910714285714285;0.928571428571428;
10;50;ch;20;0.982142857142857;1;
1;50;ch;30;1;1;
2;50;ch;30;0.982142857142857;1;
3;50;ch;30;1;1;
4;50;ch;30;1;1;
5;50;ch;30;1;1;
6;50;ch;30;1;1;
7;50;ch;30;0.982142857142857;1;
8;50;ch;30;0.982142857142857;1;
9;50;ch;30;0.964285714285714;1;
10;50;ch;30;0.964285714285714;1;
1;50;ch;40;1;1;
2;50;ch;40;0.964285714285714;1;
3;50;ch;40;0.982142857142857;1;
4;50;ch;40;1;1;
5;50;ch;40;1;1;
6;50;ch;40;1;1;
7;50;ch;40;0.982142857142857;1;
8;50;ch;40;1;1;
9;50;ch;40;1;1;
10;50;ch;40;0.982142857142857;1;
1;50;ch;50;0.982142857142857;1;
2;50;ch;50;1;1;
3;50;ch;50;1;1;
4;50;ch;50;0.982142857142857;1;
5;50;ch;50;1;1;
6;50;ch;50;1;1;
7;50;ch;50;0.982142857142857;1;
8;50;ch;50;1;1;
9;50;ch;50;0.982142857142857;1;
10;50;ch;50;0.982142857142857;1;
1;50;cau;40;1;1;
2;50;cau;40;1;1;
3;50;cau;40;1;0.982142857142857;
4;50;cau;40;1;0.982142857142857;
5;50;cau;40;1;1;
6;50;cau;40;0.972972972972973;1;
7;50;cau;40;0.972972972972973;1;
8;50;cau;40;0.972972972972973;0.982142857142857;
9;50;cau;40;1;0.982142857142857;
10;50;cau;40;1;0.964285714285714;
1;50;cau;30;1;1;
2;50;cau;30;0.958333333333333;1;
3;50;cau;30;1;0.964285714285714;
4;50;cau;30;1;0.982142857142857;
5;50;cau;30;1;1;
6;50;cau;30;1;1;
7;50;cau;30;0.958333333333333;0.946428571428571;
8;50;cau;30;0.958333333333333;1;
9;50;cau;30;1;0.982142857142857;
10;50;cau;30;0.958333333333333;0.839285714285714;
1;50;cau;20;1;1;
